index,release_name,tag_name,expected_version,expected_build,expected_git_ref,published_at,created_at,prerelease,draft,html_url,tarball_url,zipball_url,local_archive_path,artifact_id,role,notes
1,8.13,8.13.0.1623,8.13,8.13.0.1623,8.13.0.1623,2026-05-27T18:06:02Z,2026-05-26T17:54:37Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.13.0.1623,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.13.0.1623,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.13.0.1623,artifacts/local/Signal-8.13.0.1623.xcarchive,signal_local_8_13_0_1623_release,local_release_tag,
2,8.12.1,8.12.1.1616,8.12.1,8.12.1.1616,8.12.1.1616,2026-05-23T15:34:17Z,2026-05-22T21:08:22Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.12.1.1616,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.12.1.1616,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.12.1.1616,artifacts/local/Signal-8.12.1.1616.xcarchive,signal_local_8_12_1_1616_release,local_release_tag,
3,8.12,8.12.0.1599,8.12,8.12.0.1599,8.12.0.1599,2026-05-20T17:42:06Z,2026-05-19T22:28:57Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.12.0.1599,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.12.0.1599,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.12.0.1599,artifacts/local/Signal-8.12.0.1599.xcarchive,signal_local_8_12_0_1599_release,local_release_tag,
4,8.11,8.11.0.1584,8.11,8.11.0.1584,8.11.0.1584,2026-05-16T19:17:50Z,2026-05-13T19:06:57Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.11.0.1584,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.11.0.1584,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.11.0.1584,artifacts/local/Signal-8.11.0.1584.xcarchive,signal_local_8_11_0_1584_release,local_release_tag,
5,8.10,8.10.0.1570,8.10,8.10.0.1570,8.10.0.1570,2026-05-06T18:05:42Z,2026-05-05T19:56:41Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.10.0.1570,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.10.0.1570,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.10.0.1570,artifacts/local/Signal-8.10.0.1570.xcarchive,signal_local_8_10_0_1570_release,local_release_tag,
6,8.9,8.9.0.1558,8.9,8.9.0.1558,8.9.0.1558,2026-04-29T20:14:46Z,2026-04-29T14:29:45Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.9.0.1558,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.9.0.1558,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.9.0.1558,artifacts/local/Signal-8.9.0.1558.xcarchive,signal_local_8_9_0_1558_release,local_release_tag,
7,8.8,8.8.0.1549,8.8,8.8.0.1549,8.8.0.1549,2026-04-25T00:51:45Z,2026-04-24T19:02:00Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.8.0.1549,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.8.0.1549,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.8.0.1549,artifacts/local/Signal-8.8.0.1549.xcarchive,signal_local_8_8_0_1549_release,local_release_tag,
8,8.7,8.7.0.1523,8.7,8.7.0.1523,8.7.0.1523,2026-04-15T15:20:57Z,2026-04-14T21:03:43Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.7.0.1523,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.7.0.1523,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.7.0.1523,artifacts/local/Signal-8.7.0.1523.xcarchive,signal_local_8_7_0_1523_release,local_release_tag,
9,8.6,8.6.0.1506,8.6,8.6.0.1506,8.6.0.1506,2026-04-08T22:01:47Z,2026-04-08T18:17:41Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.6.0.1506,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.6.0.1506,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.6.0.1506,artifacts/local/Signal-8.6.0.1506.xcarchive,signal_local_8_6_0_1506_release,local_release_tag,
10,8.5,8.5.0.1491,8.5,8.5.0.1491,8.5.0.1491,2026-04-01T20:08:39Z,2026-03-31T20:35:33Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/8.5.0.1491,https://api.github.com/repos/signalapp/Signal-iOS/tarball/8.5.0.1491,https://api.github.com/repos/signalapp/Signal-iOS/zipball/8.5.0.1491,artifacts/local/Signal-8.5.0.1491.xcarchive,signal_local_8_5_0_1491_release,local_release_tag,
